"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
51,288230376151728128,0.024487,3,2048,443,53609,6,443,4,5,24,24,0,24,6,7.81025,0.024484,0.00612175,0.009181125,163.352,980.1119,-0.1111111,0,19,38103,1,59,59,0,0,68,1273807219,2,24,0,3,0,0,0,251,175.7,0,251,1,0,0,285,0,3,9,258,0,1,168395526,3292102812,0.001,168395.534,1690035664,0,0.00022496,0.00188896,0.000808179,0.000564429,0.006456932,0.008491906,71,0,0,0,0,1,10,1,17,17,17,4,24,"0"
46,288230376151728128,5.996207,3,2048,53684,443,6,443,21,24,1747,25520,0,1150,83.19048,239.1792,3.993177,0.2855337,0.8989893,3.502214,291.3508,-0.06666667,-0.8718597,2611,0,0,64,64,0,0,64,403911117,20,1747,0,20,25520,0,1230,65535,130317,65535,132480,10,7,11,283,0,21,67,286,1460,64,544619998,924498257,0.001,544620.0239,1689659432,0.02155795,0.000186048,3.992941,0.1755673,0.7785324,0.02177696,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,6326,99777,"0"
46,288230376151728128,5.996877,3,2048,443,53684,6,443,24,21,25520,1747,0,1440,1063.333,536.7375,3.99302,0.2498699,0.8507914,4.002083,4255.548,0.06666667,0.8718597,531,36847,28668,57,57,0,0,16452,3864465636,24,25520,0,24,1747,0,5760,65160,64512.44,64512,65160,2,0,0,795,0,24,74,286,1452,512,924500197,544619998,0.001,924500.2409,1689279552,0.000219008,3.4e-05,1.903747,0.09120485,0.3955314,0.2667722,0.8732456,0,0,0,0,0,1,9,5,15,15,3,335,338558,"0"
48,288230376151728128,5.997155,3,2048,53685,443,6,443,24,25,1747,26252,0,1150,72.79166,225.3437,4.036673,0.2498815,0.8532746,4.001897,291.3048,-0.02040816,-0.8752098,2611,0,0,64,64,0,0,64,3291345754,23,1747,0,23,26252,0,1230,65535,130496.4,65535,132480,11,8,12,283,0,24,76,286,1460,64,3879041937,4232175619,0.001,3879042.121,1686325016,0.02079104,6.4e-05,4.036456,0.1693692,0.7727997,0.021112,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,6659,106674,"0"
50,288230376151728128,6.000751,3,2048,53686,443,6,443,28,25,1747,26987,0,1150,62.39286,210.1183,4.075276,0.2143125,0.8008397,4.666082,291.1302,0.05660377,-0.8784019,2611,0,0,64,64,0,0,64,456593129,27,1747,0,27,26987,0,1230,65535,130229.7,65535,132480,14,9,15,283,0,28,88,286,1460,64,2350495242,3776609228,0.001,2350495.354,1687853569,0.02373696,2.6e-05,4.075051,0.1714221,0.7801057,0.02388595,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,7019,112261,"0"
50,288230376151728128,6.003175,3,2048,443,53686,6,443,25,28,26987,1747,0,1440,1079.48,531.232,4.075078,0.240127,0.8441389,4.164463,4495.455,-0.05660377,0.8784019,531,10441,55073,57,57,0,0,68,1980260754,25,26987,0,25,1747,0,3595,65160,64512.31,64512,65160,2,0,0,795,0,25,77,286,1452,512,3776611171,2350495242,0.001,3776611.35,1686427454,0.000148992,1.5e-05,1.822627,0.06553505,0.3320612,0.2369571,0.8478381,0,0,0,0,0,1,9,5,15,15,3,387,394932,"0"
53,288230376151728128,5.997727,3,2048,53687,443,6,443,26,26,1747,28313,0,1150,67.19231,217.3364,4.010945,0.2306818,0.8210238,4.334976,291.277,0,-0.8837658,2611,0,0,64,64,0,0,64,2351698563,25,1747,0,25,28313,0,1230,65535,130310.6,65535,132480,11,10,12,283,0,26,82,286,1460,64,2329016769,2161992899,0.001,2329016.88,1687875054,0.023912,1.5e-05,4.010751,0.1626455,0.7541345,0.02406496,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,7381,117813,"0"
53,288230376151728128,5.999139,3,2048,443,53687,6,443,26,26,28313,1747,0,1440,1088.962,524.9076,4.010784,0.2307361,0.8231487,4.333955,4719.511,0,0.8837658,531,30817,34696,57,57,0,0,16452,395264745,26,28313,0,26,1747,0,5760,65160,64512.21,64512,65160,2,0,0,795,0,26,80,286,1452,512,2161994840,2329016769,0.001,2161994.943,1688042076,0.00015296,1.7e-05,1.883258,0.07285941,0.35505,0.235505,0.8335342,0,0,0,0,0,1,9,5,15,15,3,413,423156,"0"
12,288230376151728128,116.044129,3,2048,443,53671,6,443,19,18,8495,940,0,1440,447.1053,522.1938,115.9327,6.107586,25.06496,0.1637308,73.20491,0.02702703,0.8007419,531,24679,40841,59,59,0,0,68,3943750174,17,8495,0,18,916,0,4096,64980,44990.29,0,64980,3,0,0,799,0,18,56,286,1452,256,2917357231,1991128741,0.001,2917357.37,1687286729,0.000101,6.3e-05,0.008412,0.000805389,0.001757259,12.93443,35.3607,66,0,0,0,0,1,9,1,15,15,15,19,8495,"0"
55,288230376151728128,5.995869,3,2048,53688,443,6,443,26,26,1747,28061,0,1150,67.19231,219.1349,4.05386,0.2306104,0.8251145,4.336319,291.3673,0,-0.8827832,2611,0,0,64,64,0,0,64,3622303770,25,1747,0,25,28061,0,1230,65535,130209.9,65535,132480,12,7,13,283,0,26,82,286,1460,64,3475158723,3175130524,0.001,3475158.888,1686728918,0.02307802,1.1e-05,4.053644,0.1661567,0.7618535,0.02337299,0,0,0,0,0,0,8,1,6,14,1.75,2.333333,7702,123730,"0"
