"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
35,288230376151728128,4.996134,3,2048,60953,443,6,443,14,18,1750,17360,0,1153,125,287.6742,4.006429,0.3568667,0.9969519,2.802167,350.2708,-0.125,-0.8168498,2611,0,0,64,64,0,0,64,1440683402,13,1750,0,13,17360,0,1233,65535,129419.7,65535,131328,5,5,6,283,0,14,46,286,1460,64,2138890518,3734483326,0.001,2138890.62,1687632753,0.01973203,0.000371008,4.006206,0.2336747,0.8876921,0.01988301,0,0,0,0,0,0,9,1,8,18,2,2.25,2276,96766,"0"
35,288230376151728128,5.003614,3,2048,443,60953,6,443,18,14,17360,1750,0,1368,964.4445,502.8444,4.006402,0.2779786,0.9007077,3.5974,3469.492,0.125,0.8168498,531,11867,53654,56,56,0,0,68,729642992,18,17360,0,18,1750,0,9576,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1380,512,3734484263,2138890518,0.001,3734484.44,1686037159,0.000150976,4e-05,0.896031,0.06489442,0.2221396,0.2985691,0.9150646,0,0,0,0,0,1,9,7,17,17,2.428571,351,320399,"0"
36,288230376151728128,4.99328,3,2048,60954,443,6,443,14,18,1750,17362,0,1153,125,287.6742,4.020776,0.3566628,0.9994361,2.803768,350.471,-0.125,-0.816869,2611,0,0,64,64,0,0,64,565460055,13,1750,0,13,17362,0,1233,65535,129455.4,65535,131328,5,5,6,283,0,14,46,286,1460,64,3552048532,2424775006,0.001,3552048.701,1686219601,0.02415398,0.001489024,4.020559,0.2339701,0.8909968,0.02446195,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,2353,101036,"0"
36,288230376151728128,4.992774,3,2048,443,60954,6,443,18,14,17362,1750,0,1368,964.5555,502.827,4.020663,0.2773763,0.9027591,3.60521,3477.426,0.125,0.816869,531,15625,49896,56,56,0,0,68,930825544,18,17362,0,18,1750,0,10944,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1380,512,2424775938,3552048532,0.001,2424776.053,1687346872,0.000307968,0.000102976,0.872309,0.0634677,0.2161858,0.2974378,0.9168487,0,0,0,0,0,1,9,6,16,16,2.666667,367,337809,"0"
37,288230376151728128,5.00052,3,2048,60955,443,6,443,14,19,1750,17386,0,1153,125,287.6742,4.051257,0.35718,1.006577,2.799709,349.9636,-0.1515152,-0.8170987,2611,0,0,64,64,0,0,64,3099185946,13,1750,0,13,17386,0,1233,65535,129253.2,65535,131328,4,5,5,283,0,14,46,286,1460,64,1151787990,3082781436,0.001,1151788.045,1688619865,0.02194298,0.000580992,4.0511,0.2251888,0.8763941,0.02222099,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,2486,106606,"0"
37,288230376151728128,5.003259,3,2048,443,60955,6,443,19,14,17386,1750,0,1368,915.0526,529.364,4.051219,0.2633294,0.8883933,3.797525,3474.935,0.1515152,0.8170987,531,4666,60854,56,56,0,0,68,4118355898,19,17386,0,19,1750,0,10944,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,3082782377,1151787990,0.001,3082782.523,1686688871,0.000278016,8.5e-05,0.858768,0.06203251,0.2129411,0.2872213,0.9018927,0,0,0,0,0,1,9,6,16,16,2.666667,386,355208,"0"
38,288230376151728128,5.004737,3,2048,443,60956,6,443,18,15,17410,1750,0,1368,967.2222,502.5275,4.05921,0.2780409,0.9102761,3.596593,3478.704,0.09090909,0.8173277,531,55062,10459,56,56,0,0,68,2320914351,18,17410,0,18,1750,0,9576,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1380,512,2362940034,1522520010,0.001,2362940.146,1687408718,0.000307968,3.9e-05,0.844642,0.05727506,0.2033094,0.2930442,0.92232,0,0,0,0,0,1,9,7,17,17,2.428571,406,372662,"0"
39,288230376151728128,4.995456,3,2048,60957,443,6,443,18,19,1750,17399,0,1153,97.22222,258.6518,4.06915,0.2775253,0.910535,3.603275,350.3184,-0.02702703,-0.8172228,2611,0,0,64,64,0,0,64,760126851,17,1750,0,17,17399,0,1233,65535,130353.9,65535,131328,7,7,8,283,0,18,58,286,1460,64,1705832717,3887856870,0.001,1705832.798,1688065831,0.02298598,0.000393984,4.068932,0.2234753,0.8808941,0.02324896,0,0,0,0,0,0,9,1,8,18,2,2.25,2737,116505,"0"
39,288230376151728128,4.997078,3,2048,443,60957,6,443,19,18,17399,1750,0,1368,915.7368,518.5128,4.069033,0.2630041,0.890934,3.802222,3481.835,0.02702703,0.8172228,531,60819,4701,56,56,0,0,68,168415924,19,17399,0,19,1750,0,5472,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,3887857805,1705832717,0.001,3887857.99,1685883806,0.000262976,5.3e-05,0.825861,0.04676751,0.1836461,0.2702428,0.8998334,0,0,0,0,0,1,9,7,17,17,2.428571,425,390082,"0"
40,288230376151728128,4.997085,3,2048,60958,443,6,443,15,18,1750,17454,0,1153,116.6667,279.5474,4.091869,0.333139,0.9868814,3.00175,350.2042,-0.09090909,-0.8177463,2611,0,0,64,64,0,0,64,3151606366,14,1750,0,14,17454,0,1233,65535,129733.7,65535,131328,5,5,6,283,0,15,49,286,1460,64,1452127832,2424795005,0.001,1452127.901,1688319542,0.02051002,0.001702016,4.091655,0.2391789,0.9065059,0.02070899,0,0,0,0,0,0,9,1,8,18,2,2.25,2827,120775,"0"
40,288230376151728128,5.000693,3,2048,443,60958,6,443,18,15,17454,1750,0,1368,969.6667,502.451,4.091739,0.2778163,0.9159977,3.599501,3490.316,0.09090909,0.8177463,531,38690,26831,56,56,0,0,68,678153081,18,17454,0,18,1750,0,10944,65160,64517.28,64512,65160,2,0,0,795,0,18,56,286,1380,512,2424795942,1452127832,0.001,2424796.057,1687346872,0.000198976,8.4e-05,0.807247,0.05493892,0.1942582,0.2941178,0.9270864,0,0,0,0,0,1,9,7,17,17,2.428571,443,407480,"0"
