"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
121,288230376151728128,7.06607,3,2048,58109,7000,6,7000,7,0,0,0,0,0,0,0,2.046316,1.009439,0.4734013,0.9906497,0,1,0,19,0,0,63,63,0,96,64,2373260737,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1619694884,0,0.01,16196948.48,1674901752,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,3,3,3,1,140,0,"1"
141,288230376151728128,7.065561,3,2048,62053,7000,6,7000,7,0,0,0,0,0,0,0,2.046182,1.009366,0.4741081,0.990721,0,1,0,19,0,0,63,63,0,96,64,3869755114,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1628740111,0,0.01,16287400.75,1674818967,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,1,1,1,1,64,0,"1"
63,288230376151728128,7.096497,3,2048,57015,7000,6,7000,7,0,0,0,0,0,0,0,2.086787,1.013785,0.4846285,0.9864022,0,1,0,19,0,0,63,63,0,96,64,3554628709,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1475855185,0,0.01,14758551.52,1676338906,0,65535,0,0,0,0,0,3,0,0,0,0,1,3,3,3,3,1,43,0,"1"
69,288230376151728128,6.963139,3,2048,57671,7000,6,7000,7,0,0,0,0,0,0,0,2.048487,0.9947342,0.478698,1.005294,0,1,0,19,0,0,63,63,0,96,64,3546095301,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1220284258,0,0.001,1220284.316,1689884945,0,65535,0,0,0,0,0,3,0,0,0,0,1,9,2,2,2,1,63,0,"1"
105,288230376151728128,6.84907,3,2048,50740,7000,6,7000,7,0,0,0,0,0,0,0,1.931288,0.9784386,0.4524076,1.022037,0,1,0,19,0,0,63,63,0,96,64,1074760499,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4096,7,49,286,1386,0,2664875867,0,0.001,2664875.994,1688433571,0,65535,0,0,0,0,0,3,0,0,0,0,1,7,3,3,3,1,109,0,"1"
172,288230376151728128,7.018787,3,2048,62097,7000,6,7000,7,0,0,0,0,0,0,0,1.946274,1.002684,0.4457613,0.9973233,0,1,0,19,0,0,63,63,0,96,64,4056596070,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2692457457,0,0.004,10769830.34,1680336877,0,65535,0,0,0,0,0,3,0,0,0,0,1,6,1,1,1,1,85,0,"1"
22,288230376151728128,3539.975221,3,2048,0,0,2,0,57,0,0,0,0,0,0,0,120.0144,62.10483,14.69621,0.01610181,0,1,0,1,2782,9041,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,57,0,"1"
37,288230376151728128,60.795059,3,2048,443,60987,6,443,9,0,0,0,0,0,0,0,30.21001,6.755007,8.973269,0.1480383,0,-1,0,17,1,1,120,120,0,0,0,3041139480,1,0,0,9,0,0,0,65535,65535,65535,65535,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,131,0,0,0,0,1,2,3,3,3,1,126,0,"1"
25,288230376151728128,180.03212,3,2048,0,0,2,0,4,0,0,0,0,0,0,0,60.01778,45.00803,19.52857,0.02221826,0,1,0,1,2388,3664,1,1,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,25,0,"1"
235,288230376151728128,0,3,2048,57206,5060,6,5060,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,4111805992,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,12,2,2,2,1,5858,797952,"1"
129,288230376151728128,0,3,2048,38908,5061,6,5061,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,3292424857,0,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,12,6,6,6,1,5895,872762,"1"
100,288230376151728128,6.960261,3,2048,54250,7000,6,7000,7,0,0,0,0,0,0,0,2.091529,0.994323,0.4924126,1.005709,0,1,0,19,0,0,63,63,0,96,64,1409953202,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4097,7,49,286,1386,0,506118687,0,0.001,506118.711,1690572982,0,65535,0,0,0,0,0,3,0,0,0,0,1,11,2,2,2,1,35,0,"1"
146,288230376151728128,7.069843,3,2048,62512,7000,6,7000,7,0,0,0,0,0,0,0,2.06672,1.009978,0.4792926,0.990121,0,1,0,19,0,0,63,63,0,96,64,1925983855,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,3181187084,0,0.01,31811870.13,1659276589,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,1,1,1,1,70,0,"1"
89,288230376151728128,0,3,2048,61012,12082,6,12082,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,688050338,0,0,0,0,0,0,0,65320,65320,65320,65320,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,3,1,1,1,1,2,0,"1"
243,288230376151728128,0,3,2048,60000,7210,6,7210,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,518331340,0,0,0,0,0,0,0,600,600,600,600,0,0,0,2,4096,1,1,4,536,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,9,1,1,1,1,116,0,"1"
242,288230376151728128,7.052718,3,2048,62977,7000,6,7000,7,0,0,0,0,0,0,0,2.048153,1.007531,0.4757407,0.9925251,0,1,0,19,0,0,63,63,0,96,64,139368290,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2169036058,0,0.01,21690360.1,1669399227,0,65535,0,0,0,0,0,3,0,0,0,0,1,8,1,1,1,1,87,0,"1"
198,288230376151728128,7.351102,3,2048,62675,7000,6,7000,7,0,0,0,0,0,0,0,2.255171,1.050157,0.5317169,0.9522382,0,1,0,19,0,0,63,63,0,96,64,1918385794,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4097,7,49,286,1386,0,3464896099,0,0.1,346489615.1,1344599325,0,65535,0,0,0,0,0,3,0,0,0,0,1,6,1,1,1,1,22,31,"1"
