"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
33,288230376151728128,0,3,2048,56308,53,17,53,1,1,69,58,69,69,69,0,0,0,0,0,0,0,0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005023008,0.005023008,0.005023008,0.005023008,0,0.005023008,0,0,0,0,0,1,1,14,14,14,1,311898,399772463,1,"0"
72,288230376151728128,0,3,2048,5353,5353,17,5353,1,0,161,0,161,161,161,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3614798,4695643340,1,"0"
7,288230376151728128,0,3,2048,53,61136,17,53,1,1,38,49,38,38,38,0,0,0,0,0,0,0,-0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.005268,0,0,0,0,0,1,1,23,23,23,1,12,572,1,"0"
50,288230376151728128,0,3,2048,51041,53,17,53,1,1,69,58,69,69,69,0,0,0,0,0,0,0,0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006758976,0.006758976,0.006758976,0.006758976,0,0.006758976,0,0,0,0,0,3,1,4,4,1.333333,1,576283,736054776,1,"0"
82,576460752303456256,0,3,34525,54487,56412,6,56412,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,3074462477,1,0,0,1,0,0,0,2048,2048,2048,2048,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0.111831,0.111831,0.111831,0,0,0,3,0,0,0,2,2,4,4,2,1,260,76468,1,"0"
126,576460752303456256,0,3,34525,61124,55763,6,61124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,3307305476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.00018304,0,67,0,0,0,2,2,3,3,1.5,1,3486506,4536485084,1,"0"
71,288230376151728128,0,3,2048,138,138,17,138,1,0,201,0,201,201,201,0,0,0,0,0,0,1,1,1,65535,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,11,547,1,"0"
23,68,3519.575016,2,2054,0,0,0,0,120,0,5520,0,46,46,46,0,135.4723,29.32979,35.98839,0.03409503,1.568371,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
139,288230376151728128,0.045641,3,2048,54107,7000,6,7000,6,6,41,1708,0,41,6.833333,12.68929,0.03049798,0.00760683,0.009214444,131.4607,898.3151,0,-0.9531161,2579,0,0,64,64,0,0,16448,546329014,5,41,0,5,1708,0,41,65535,120018.6,65535,131712,1,2,2,283,0,6,22,286,1460,64,1071576038,3872226581,0.001,1071576.089,1690690495,0.00042496,9.4e-05,0.02311501,0.007836672,0.009191902,0.00666496,0,0,0,0,0,2,1,2,2,1,1,230,25801,1,"0"
27,288230376151728128,0,3,2048,63347,53,17,53,1,1,48,37,48,48,48,0,0,0,0,0,0,0,0.1294118,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005491968,0.005491968,0.005491968,0.005491968,0,0.005491968,0,0,0,0,0,2,1,4,4,2,1,532401,679641445,1,"0"
70,288230376151728128,0,3,2048,138,138,17,138,1,0,201,0,201,201,201,0,0,0,0,0,0,1,1,1,65535,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,2,1,0.5,0.5,228422,292922811,1,"0"
49,288230376151728128,0,3,2048,53,54179,17,53,1,1,38,49,38,38,38,0,0,0,0,0,0,0,-0.1264368,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008428992,0,0,0,0,0,1,3,5,5,5,1,30,1378,1,"0"
26,68,0,2,2054,0,0,0,0,1,0,28,0,28,28,28,0,0,0,0,0,0,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
116,288230376151728128,7.005477,3,2048,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002089,1.751369,1.256653,0.5709818,98.20887,1,1,1,4727,4727,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,3,3,1,1,0.3333333,1,11642078,15134317834,1,"0"
29,288230376151728128,0,3,2048,59279,53,17,53,1,1,48,37,48,48,48,0,0,0,0,0,0,0,0.1294118,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002950976,0.002950976,0.002950976,0.002950976,0,0.002950976,0,0,0,0,0,3,1,22,22,7.333333,1,290008,370100203,1,"0"
39,288230376151728128,258.556998,3,2048,137,137,17,137,45,0,2466,0,50,68,54.8,7.55577,118.3738,5.745711,19.57684,0.1740429,9.537548,1,1,1,1,7,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,175,14405,1,"0"
58,288230376151728128,1.535722,3,2048,137,137,17,137,3,0,150,0,50,50,50,0,0.821435,0.5119073,0.2643523,1.953479,97.67393,1,1,1,1,1,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0.5,35,1697,1,"0"
