"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
27,288230376151728128,0,3,2048,0,0,1,0,1,0,28,0,28,28,28,0,0,0,0,0,0,-1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,1,1,27,3,1,1,1,0.3333333,1,1151,118425,"0"
39,288230376151728128,30.296956,3,2048,62958,443,6,443,21,25,2425,8690,0,1204,115.4762,260.6193,30.09325,1.442712,6.203518,0.693139,80.04105,-0.08695652,-0.5636527,2611,0,0,64,64,0,0,64,1703788063,19,2425,20,8690,1,1783,65535,130929.6,65535,131328,5,6,6,283,72,21,67,286,1460,64,1460166943,1604913366,0.01,14601669.1,1674479314,0.02245699,0.001183008,30.09302,3.800375,9.717224,0.02263398,0,2,0,0,0,5,1,2,6,1.2,3,1165,119392,"0"
39,288230376151728128,30.290201,3,2048,443,62958,6,443,25,21,8690,2425,0,1368,347.6,494.9958,30.09309,1.211608,5.738486,0.8253495,286.8914,0.08695652,0.5636527,16915,1,20571,55,55,0,0,16448,1265395832,24,8690,25,2394,1,6165,65160,64132.41,64128,65160,2,0,0,1823,8,25,80,318,1380,128,1604913476,1460166943,0.01,16049134.4,1673031848,0.000176992,6.4e-05,0.031152,0.006221225,0.01012773,3.806596,9.717229,66,0,0,0,1,5,1,5,5,5,25,8690,"0"
42,288230376151728128,0.321042,3,2048,25586,22,6,22,2,1,0,0,0,0,0,0,0.321042,0.160521,0.1135055,6.229714,0,0.3333333,0,17,59014,0,49,49,0,144,68,3792470123,0,0,0,0,0,0,3986,2790.2,0,3986,1,0,0,6,12288,0,0,0,0,1,0,0,0,0,0,0.000579008,0.000579008,0.000579008,0.000579008,0,0.321042,0,67,0,0,0,1,3,6,4,4,0.6666667,4,0,"0"
42,288230376151728128,0,3,2048,22,25586,6,22,1,2,0,0,0,0,0,0,0,0,0,0,0,-0.3333333,0,17,65535,0,64,64,0,0,64,663714951,1,0,1,0,0,0,65535,65535,65535,65535,0,0,0,530,8192,1,1,4,1460,1,0,0,0,0,0,0.320463,0.320463,0.320463,0.320463,0,0.321042,0,3,0,0,0,3,1,5,3,1,0.6,1324,139343,"0"
44,288230376151728128,0,3,2048,35004,80,6,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65535,0,50,50,0,0,64,3100303489,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,12288,1,5,286,1380,64,3563995,0,0.01,35639.9492,1689045386,0.000486,0.000486,0.000486,0.000486,0,0.000486,0,3,0,0,0,1,3,4,2,2,0.5,4,0,"0"
44,288230376151728128,0,3,2048,80,35004,6,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,64,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000486,0,67,0,0,0,3,1,3,1,0.3333333,0.3333333,1324,139343,"0"
43,288230376151728128,0.356797,3,2048,52868,22,6,22,4,4,55,21,0,55,13.75,19.58001,0.305925,0.08919924,0.09389526,11.21086,154.1493,0,0.4473684,2579,1,28654,50,50,0,0,64,1600517075,3,55,3,21,0,55,65535,53757.41,0,87616,1,1,2,1054,0,3,11,286,1380,64,3564067,2396014858,1,3564067,1685516958,0.000397008,0.000208992,0.04911501,0.02445101,0.02014297,0.305925,0,18,0,0,0,1,3,2,2,2,1,7,55,"0"
43,288230376151728128,0.354645,3,2048,22,52868,6,22,4,4,21,55,0,21,5.25,7.476003,0.305739,0.08866125,0.0947992,11.27888,59.21414,0,-0.4473684,2579,0,0,64,64,0,0,64,1811823320,4,21,4,55,0,21,65535,108719,65535,131264,0,1,1,1566,0,3,13,286,1460,64,2396015212,3564067,1,2396015212,1.84467e+19,0.305528,0.001755008,0.30553,0.2295853,0.1139151,0.2540363,0.1156823,66,0,0,0,3,1,1,1,0.3333333,1,1327,139364,"0"
13,288230376151728128,126.521461,3,2048,5353,5353,17,5353,6,0,1483,0,172,412,247.1667,90.6541,81.16464,21.08691,23.43756,0.04742279,11.72133,1,1,1,20703,52438,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,5,1,2,1,0.2,0.5,1330,139787,"0"
