"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
57,288230376151728128,0,3,2048,123,54216,17,123,1,1,48,48,48,48,48,0,0,0,0,0,0,0,0,1,65535,0,54,54,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.02586202,0,0,0,0,0,1,7,1,1,1,1,1,48,"0"
18,68,3576.05059,2,2054,0,0,0,0,501,0,14028,0,28,28,28,0,24.06292,7.137827,3.537421,0.1400987,3.922763,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
10,288230376151728128,1.536895,3,2048,137,137,17,137,3,0,150,0,50,50,50,0,0.819209,0.5122983,0.2645499,1.951988,97.59938,1,1,1,1,1,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,11,374,"0"
35,288230376151728128,0,3,2048,53,64577,17,53,1,1,140,40,140,140,140,0,0,0,0,0,0,0,0.5555556,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008033024,0,0,0,0,0,2,3,1,1,0.5,1,17,2091,"0"
177,288230376151728128,0.32201,3,2048,443,57425,6,443,16,14,8568,2296,0,1440,535.5,592.2803,0.138912,0.02012562,0.0322687,49.6879,26607.87,0.06666667,0.5773196,1555,1,27046,53,53,0,0,16448,3557642735,16,8568,16,2296,0,2880,65160,64182.57,64128,65160,2,0,0,795,0,16,50,286,1452,128,4105940256,4005776143,1,4105940256,1.84467e+19,0.000138048,8.7e-05,0.01647398,0.002466162,0.004122412,0.04428115,0.04502497,0,0,0,0,1,9,3,13,13,4.333333,57,31660,"0"
12,288230376151728128,0.045246,3,2048,52699,5223,6,52699,4,3,64,758,0,32,16,12.50778,0.040164,0.0113115,0.01373892,88.4056,1414.49,0.1428571,-0.8442822,2067,0,0,64,64,0,2,64,2179259763,4,32,4,379,0,32,2042,2044.682,2042,2048,1,2,2,24,0,4,12,258,0,1,3551660981,1174012406,1,3551660981,1.84467e+19,0,0.039992,0.061824,0.03393867,0.01981104,0.03540968,0.0198449,3,0,0,0,1,1,1,1,1,1,2322,252331,"0"
76,288230376151728128,30.627659,3,2048,58069,443,6,443,17,13,1855,7298,0,517,109.1176,145.1788,29.99133,1.801627,6.823809,0.5550538,60.56617,0.1333333,-0.5946684,2611,0,0,64,64,0,0,64,1966689594,16,1855,16,7298,0,613,65535,130768.8,65535,131328,5,6,6,283,0,17,55,286,1460,64,1734524758,2119228339,0.001,1734524.84,1687037530,0.09804,0.006332,0.102262,0.09224485,0.02343824,0.09809101,0,0,0,0,0,3,1,2,4,1.333333,2,4226,498175,"0"
133,288230376151728128,0.455144,3,2048,443,57969,6,443,18,15,11697,1483,0,1440,649.8333,621.2027,0.282175,0.02528577,0.06547543,39.54792,25699.56,0.09090909,0.7749621,16915,1,31934,58,58,0,0,16448,757901444,18,11697,18,1483,0,7201,65160,64146.99,64128,65160,2,0,0,795,0,18,59,318,1452,128,1065580922,4013661836,0.001,1065580.973,1687700006,0.00016,4.29e-05,0.260299,0.02221616,0.06610231,0.07339135,0.08057348,2,0,0,0,1,4,1,3,3,3,18,11697,"0"
128,288230376151728128,11.365138,3,2048,5353,5353,17,5353,6,0,462,0,77,77,77,0,9.217545,1.894189,2.727271,0.5279303,40.65063,1,1,1,1,1665,255,255,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,6,462,"0"
67,288230376151728128,0,3,2048,58013,53,17,53,1,1,42,307,42,42,42,0,0,0,0,0,0,0,-0.7593123,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006744,0.006744,0.006744,0.006744,0,0.006744,0,0,0,0,0,6,1,26,26,4.333333,1,4667,511434,"0"
