"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
54,288230376151728128,0.188283,3,2048,57379,443,6,443,29,26,2384,23708,0,777,82.20689,205.2076,0.045537,0.006492518,0.01159083,154.0235,12661.79,0.05454545,-0.817262,2611,0,0,64,64,0,0,64,2083645317,28,2384,28,23708,0,1455,65535,130760.3,65535,131584,11,9,12,283,0,29,91,286,1460,64,3976390384,1312678317,1,3976390384,1.84467e+19,0.03013802,0.000363008,0.04549805,0.01785554,0.01697561,0.030236,0,0,0,0,0,7,1,2,8,1.142857,4,1824,206344,"0"
54,288230376151728128,0.157906,3,2048,443,57379,6,443,26,29,23708,2384,0,1400,911.8461,596.5862,0.037836,0.006073308,0.01096043,164.6549,150140,-0.05454545,0.817262,2579,1,64075,122,123,1,192,16448,2813403777,26,23708,26,2385,0,4682,65535,70139.8,65535,70144,0,3,1,795,0,26,80,286,1412,256,1312678317,3976390354,1,1312678317,376057034.4,9.8e-05,3.5e-05,0.00749696,0.001158367,0.002063977,0.01901391,0.01710062,0,0,0,0,1,7,1,7,7,7,26,23708,"0"
53,288230376151728128,10.284466,3,2048,57378,443,6,443,23,14,1698,1041,0,628,73.82609,115.3645,10.10692,0.4471506,1.994345,2.236382,165.1034,0.2432432,0.2398686,2579,0,0,64,64,0,0,64,4051608790,18,1698,18,1017,0,976,65535,31556.14,0,132480,4,1,5,287,0,19,61,286,1460,64,1238219878,3025740386,0.1,123821989.6,1564913372,0.03480602,0.000768992,10.10675,0.7440618,2.464353,0.034956,0,82,0,0,0,6,1,2,6,1,3,1824,206344,"0"
53,288230376151728128,10.249619,3,2048,443,57378,6,443,14,23,1041,1698,0,505,74.35714,132.5798,10.03382,0.7321157,2.448294,1.365904,101.5648,-0.2432432,-0.2398686,2579,1,13363,51,51,0,0,16448,1335873242,14,1041,14,1698,0,505,28960,36646.21,28960,36864,0,4,1,795,0,14,44,286,1452,512,3025740497,1238219878,0.1,302574054.2,1386161308,0.000149984,4.1e-05,0.004818976,0.000989271,0.00105957,0.745051,2.464354,18,0,0,0,1,6,1,5,5,5,14,1041,"0"
58,288230376151728128,10.232001,3,2048,443,57380,6,443,16,35,2458,2988,0,1440,153.625,334.2444,10.0565,0.6395001,2.328366,1.563721,240.2267,-0.372549,-0.09731913,2579,1,56442,50,50,0,0,16448,3777466087,16,2458,16,2988,0,1440,28960,43688.5,28960,44032,0,5,1,795,0,16,50,286,1452,512,3025762921,2779810474,0.001,3025763.065,1685709621,0.00020096,5.6e-05,0.00372,0.001595992,0.001188463,0.6518388,2.335841,18,0,0,0,1,9,1,11,11,11,30,3499,"0"
36,288230376151728128,138.958184,3,2048,5353,5353,17,5353,18,0,3965,0,58,522,220.2778,130.2584,74.5475,7.719899,17.00178,0.1295354,28.53376,1,1,1,42920,60042,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,4,1,1,0.5,1,24,4021,"0"
37,576460752303456256,138.855584,3,34525,5353,5353,17,5353,17,0,3869,0,58,522,227.5882,130.6005,74.54686,8.167975,17.37695,0.1224293,27.86348,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,17,3869,"0"
62,288230376151728128,10.533878,3,2048,57384,443,6,443,49,26,3952,7753,0,517,80.65306,81.72079,10.04161,0.2149771,1.401955,4.651658,375.1705,0.3066667,-0.324733,2579,0,0,64,64,0,0,64,3746056761,45,3952,45,7729,0,2051,65535,44934.5,0,132480,7,9,8,287,0,46,142,286,1460,64,3022427226,3025788721,0.1,302242727.1,1386492682,0.03578,0.000498016,10.04141,0.4109495,1.883821,0.03589501,0,82,0,0,0,13,1,2,20,1.538462,10,2159,261229,"0"
62,288230376151728128,10.498027,3,2048,443,57384,6,443,26,49,7753,3952,0,1440,298.1923,432.6487,10.04149,0.4037702,1.885496,2.476656,738.5197,-0.3066667,0.324733,2579,1,10375,51,51,0,0,16448,2429460026,26,7753,26,3952,0,2880,28960,47128.94,28960,47616,0,11,1,795,0,26,80,286,1452,512,3025788828,3022427226,0.1,302578887.3,1386156522,0.000115008,4.7e-05,0.143163,0.01993576,0.04551627,0.4308853,1.884371,18,0,0,0,1,13,1,19,19,19,56,11252,"0"
67,288230376151728128,10.171614,3,2048,443,57389,6,443,13,21,1204,1483,0,668,92.61539,170.6533,9.960885,0.7824319,2.49929,1.278067,118.3686,-0.2352941,-0.1038333,2579,1,27209,50,50,0,0,16448,2998616485,13,1204,13,1483,0,668,28960,35143.37,28960,35328,0,3,1,795,0,13,41,286,1452,512,3025818506,3052604672,0.01,30258184.38,1658477255,0.000124992,3.49e-05,0.004828,0.000817853,0.000944341,0.7960234,2.515147,18,0,0,0,1,12,1,19,19,19,69,12456,"0"
